doi,prefix,registry,resolved,status,http_code,csl_title,csl_year,csl_container,csl_type,csl_publisher,csv_title,csv_year,csv_venue,source_file,final_url,title_match_note
10.33355/tw.86775,10.33355,Crossref,True,ok,200,History and Aesthetics of Progress Indicators,2019,Tekniikan Waiheita,journal-article,Tekniikan waiheita,History and Aesthetics of Progress Indicators,2019,,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.33355%2Ftw.86775/transform,
10.5281/zenodo.15104178,10.5281,DataCite,True,ok,200,Ensuring Data Integrity in Highly Distributed Systems,2022,Zenodo,article-journal,Zenodo,Ensuring Data Integrity in Highly Distributed Systems,2025,,combined_pipeline_integrity_results.csv,https://data.crosscite.org/10.5281%2Fzenodo.15104178,
10.48550/arxiv.2301.00987,10.48550,DataCite,True,ok,200,AI in HCI Design and User Experience,2023,arXiv,article,arXiv,AI in HCI Design and User Experience,2023,,combined_progress_bar_results.csv,https://data.crosscite.org/10.48550%2Farxiv.2301.00987,
10.1007/s10209-006-0034-z,10.1007,Crossref,True,ok,200,Effects of feedback and dwell time on eye typing speed and accuracy,2006,Universal Access in the Information Society,journal-article,Springer Science and Business Media LLC,Effects of feedback and dwell time on eye typing speed and accuracy,2006,Universal Access in The Information Society,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1007%2Fs10209-006-0034-z/transform,
10.1155/2021/9977744,10.1155,Crossref,True,ok,200,Enabling Decentralized and Dynamic Data Integrity Verification for Secure Cloud Storage via T-Merkle Hash Tree Based Blockchain,2021,Mobile Information Systems,journal-article,Wiley,Enabling Decentralized and Dynamic Data Integrity Verification for Secure Cloud Storage via T-Merkle Hash Tree Based Blockchain,2021,Mobile Information Systems,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1155%2F2021%2F9977744/transform,
10.63282/3050-922x.ijeret-v4i4p107,10.63282,Crossref,True,ok,200,Challenges and Solutions for Managing Errors in Distributed Batch Processing Systems and Data Pipelines,2023,International Journal of Emerging Research in Engineering and Technology,journal-article,ScienceTech Xplore,Challenges and Solutions for Managing Errors in Distributed Batch Processing Systems and Data Pipelines,2023,,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.63282%2F3050-922x.ijeret-v4i4p107/transform,
10.3389/frai.2024.1330257,10.3389,Crossref,True,ok,200,One or two things we know about concept drift—a survey on monitoring in evolving environments. Part A: detecting concept drift,2024,Frontiers in Artificial Intelligence,journal-article,Frontiers Media SA,One or two things we know about concept drift—a survey on monitoring in evolving environments. Part A: detecting concept drift,2024,Frontiers in artificial intelligence,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.3389%2Ffrai.2024.1330257/transform,
10.1145/2317956.2318069,10.1145,Crossref,True,ok,200,Enhancing User eXperience during waiting time in HCI,2012,Proceedings of the Designing Interactive Systems Conference,proceedings-article,ACM,Enhancing User eXperience during waiting time in HCI: contributions of cognitive psychology,2012,Designing Interactive Systems,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1145%2F2317956.2318069/transform,
10.1016/j.intcom.2010.03.001,10.1016,Crossref,True,ok,200,The impact of progress indicators on task completion,2010,Interacting with Computers,journal-article,Oxford University Press (OUP),The impact of progress indicators on task completion,2010,Interacting with Computers,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1016%2Fj.intcom.2010.03.001/transform,
10.1145/2133806.2133824,10.1145,Crossref,True,ok,200,Sample size in usability studies,2012,Communications of the ACM,journal-article,Association for Computing Machinery (ACM),Sample size in usability studies,2012,Communications of The ACM,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1145%2F2133806.2133824/transform,
10.1109/coginf.2011.6016121,10.1109,Crossref,True,ok,200,The operational semantics of Concept Algebra for cognitive computing and machine learning,2011,IEEE 10th International Conference on Cognitive Informatics and Cognitive Computing (ICCI-CC'11),proceedings-article,IEEE,The operational semantics of Concept Algebra for cognitive computing and machine learning,2011,IEEE International Conference on Cognitive Informatics and Cognitive Computing,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.1109%2Fcoginf.2011.6016121/transform,
10.1109/isco.2015.7282293,10.1109,Crossref,True,ok,200,An explicit integrity verification scheme for cloud distributed systems,2015,2015 IEEE 9th International Conference on Intelligent Systems and Control (ISCO),proceedings-article,IEEE,An explicit integrity verification scheme for cloud distributed systems,2015,IEEE International Conference on Intelligent Systems and Control,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1109%2Fisco.2015.7282293/transform,
10.1080/00140139608964433,10.1080,Crossref,True,ok,200,Duration estimates and users' preferences in human-computer interaction,1996,Ergonomics,journal-article,Informa UK Limited,Duration estimates and users' preferences in human-computer interaction,1996,Ergonomics,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1080%2F00140139608964433/transform,
10.4018/jegr.2012100102,10.4018,Crossref,True,ok,200,Enhancing Visibility in International Supply Chains,2012,International Journal of Electronic Government Research,journal-article,IGI Global Scientific Publishing,Enhancing Visibility in International Supply Chains: The Data Pipeline Concept,2012,Electronic Government,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.4018%2Fjegr.2012100102/transform,
10.17083/ijsg.v4i4.192,10.17083,Crossref,True,ok,200,Metrics Feedback Cycle: measuring and improving user engagement in gamified eLearning systems,2017,International Journal of Serious Games,journal-article,Serious Games Society,Metrics Feedback Cycle: measuring and improving user engagement in gamified eLearning systems,2017,International Journal of Serious Games,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.17083%2Fijsg.v4i4.192/transform,
10.17705/1jais.00452,10.17705,Crossref,True,ok,200,The Online Waiting Experience: Using Temporal Information and Distractors to Make Online Waits Feel Shorter,2017,Journal of the Association for Information Systems,journal-article,Association for Information Systems,The Online Waiting Experience: Using Temporal Information and Distractors to Make Online Waits Feel Shorter,2017,Journal of the Association for Information Systems,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.17705%2F1jais.00452/transform,
10.1371/journal.pone.0177576,10.1371,Crossref,True,ok,200,Provenance based data integrity checking and verification in cloud environments,2017,PLOS ONE,journal-article,Public Library of Science (PLoS),Provenance based data integrity checking and verification in cloud environments,2017,PLOS ONE,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1371%2Fjournal.pone.0177576/transform,
10.1145/3706598.3713090,10.1145,Crossref,True,ok,200,Exploring the Design of Human Speech Indicators to Enhance Waiting Experience in Voice User Interface,2025,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,proceedings-article,ACM,Exploring the design of human speech indicators to enhance waiting experience in voice user interface,2025,,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1145%2F3706598.3713090/transform,
10.32782/2308-6971/2022.2.4,10.32782,Crossref,True,ok,200,UNECE ASSESSMENT ON THE PRACTICAL APPLICATION OF THE DATA PIPELINE CONCEPT FOR IMPROVING THE GRAIN CORRIDOR EFFICIENCY USING UN/CEFACT STANDARDS,2022,Customs Scientific Journal,journal-article,Publishing House Helvetica (Publications),Unece assessment on the practical application of the data pipeline concept for improving the grain corridor efficiency using un/cefact standards,2022,Customs,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.32782%2F2308-6971%2F2022.2.4/transform,
10.1177/0894439313497468,10.1177,Crossref,True,ok,200,Where Am I? A Meta-Analysis of Experiments on the Effects of Progress                Indicators for Web Surveys,2013,Social Science Computer Review,journal-article,SAGE Publications,Where am I? A meta-analysis of experiments on the effects of progress indicators for web surveys,2013,Social Science Computer Review,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1177%2F0894439313497468/transform,
10.1016/j.ijhcs.2024.103228,10.1016,Crossref,True,ok,200,Automatically adapting system pace towards user pace — Empirical studies,2024,International Journal of Human-Computer Studies,journal-article,Elsevier BV,Automatically adapting system pace towards user pace — Empirical studies,,International journal of human-computer studies,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1016%2Fj.ijhcs.2024.103228/transform,
10.3233/978-1-61499-910-2-55,10.3233,Crossref,True,ok,200,Representing Concepts by Weighted Formulas,2018,Frontiers in Artificial Intelligence and Applications,book-chapter,IOS Press,Representing Concepts by Weighted Formulas,2018,Formal Ontology in Information Systems,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.3233%2F978-1-61499-910-2-55/transform,
10.4018/ijcini.2011070101,10.4018,Crossref,True,ok,200,Semantic Manipulations and Formal Ontology for Machine Learning based on Concept Algebra,2011,International Journal of Cognitive Informatics and Natural Intelligence,journal-article,IGI Global Scientific Publishing,Semantic Manipulations and Formal Ontology for Machine Learning based on Concept Algebra,2011,International Journal of Cognitive Informatics and Natural Intelligence,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.4018%2Fijcini.2011070101/transform,
10.5281/zenodo.16883896,10.5281,DataCite,True,ok,200,Geometrie del Pensiero: Formalizzazione e Coerenza nell'Epistemologia Contemporanea,2025,Zenodo,article-journal,Zenodo,Geometrie del Pensiero: Formalizzazione e Coerenza nell'Epistemologia Contemporanea,2025,,combined_epistemic_states_research.csv,https://data.crosscite.org/10.5281%2Fzenodo.16883896,
10.1109/ictai.2014.32,10.1109,Crossref,True,ok,200,A Syntactic Approach to Revising Epistemic States with Uncertain Inputs,2014,2014 IEEE 26th International Conference on Tools with Artificial Intelligence,proceedings-article,IEEE,A Syntactic Approach to Revising Epistemic States with Uncertain Inputs,2014,International Conference on Tools with Artificial Intelligence,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.1109%2Fictai.2014.32/transform,
10.1007/3-540-52062-7_77,10.1007,Crossref,True,ok,200,Exploring the epistemic labyrinth: New directions in the formal theory of knowledge representation,1990,Lecture Notes in Computer Science,book-chapter,Springer Berlin Heidelberg,Exploring the Epistemic Labyrinth: New Directions in the Formal Theory of Knowledge Representation,1988,Australian Joint Conference on Artificial Intelligence,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.1007%2F3-540-52062-7_77/transform,
10.3390/app13137830,10.3390,Crossref,True,ok,200,CRBF: Cross-Referencing Bloom-Filter-Based Data Integrity Verification Framework for Object-Based Big Data Transfer Systems,2023,Applied Sciences,journal-article,MDPI AG,CRBF: Cross-Referencing Bloom-Filter-Based Data Integrity Verification Framework for Object-Based Big Data Transfer Systems,2023,Applied Sciences,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.3390%2Fapp13137830/transform,
10.1145/2702123.2702428,10.1145,Crossref,True,ok,200,Survival Analysis,2015,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,proceedings-article,ACM,Survival Analysis: Objective assessment of Wait Time in HCI,2015,Human Factors in Computing Systems,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1145%2F2702123.2702428/transform,
10.1142/s0218194015500084,10.1142,Crossref,True,ok,200,Reusable Solutions for Implementing Usability Functionalities,2015,International Journal of Software Engineering and Knowledge Engineering,journal-article,World Scientific Pub Co Pte Lt,Reusable Solutions for Implementing Usability Functionalities,2015,International Journal of Software Engineering and Knowledge Engineering,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1142%2Fs0218194015500084/transform,
10.48175/ijarsct-23391,10.48175,Crossref,True,ok,200,"Robust Data Pipelines for AI Workloads: Architectures, Challenges, and Future Directions",2025,"International Journal of Advanced Research in Science, Communication and Technology",journal-article,Naksh Solutions,"Robust Data Pipelines for AI Workloads: Architectures, Challenges, and Future Directions",2025,"International Journal of Advanced Research in Science, Communication and Technology",combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.48175%2Fijarsct-23391/transform,
10.1016/j.chb.2016.04.004,10.1016,Crossref,True,ok,200,Reducing temporal tensions as a strategy to promote sustainable behaviours,2016,Computers in Human Behavior,journal-article,Elsevier BV,Reducing temporal tensions as a strategy to promote sustainable behaviours,2016,Computers in Human Behavior,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1016%2Fj.chb.2016.04.004/transform,
10.1109/bigdata.2016.7840953,10.1109,Crossref,True,ok,200,Towards optimizing large-scale data transfers with end-to-end integrity verification,2016,2016 IEEE International Conference on Big Data (Big Data),proceedings-article,IEEE,Towards optimizing large-scale data transfers with end-to-end integrity verification,2016,International Conference on Big Data,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1109%2Fbigdata.2016.7840953/transform,
10.1186/s13635-018-0083-x,10.1186,Crossref,True,ok,200,A generic integrity verification algorithm of version files for cloud deduplication data storage,2018,EURASIP Journal on Information Security,journal-article,Springer Science and Business Media LLC,A generic integrity verification algorithm of version files for cloud deduplication data storage,2018,Eurasip Journal on Information Security,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1186%2Fs13635-018-0083-x/transform,
10.17140/pcsoj-5-144,10.17140,Crossref,True,ok,200,Does Progress Bars’ Behavior Influence the User Experience in Human-Computer Interaction?,2019,Psychology and Cognitive Sciences – Open Journal,journal-article,Openventio Publishers,Does Progress Bars’ Behavior Influence the User Experience in Human-Computer Interaction?,2019,,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.17140%2Fpcsoj-5-144/transform,
10.1109/access.2020.3004444,10.1109,Crossref,True,ok,200,ODPV: An Efficient Protocol to Mitigate Data Integrity Attacks in Intelligent Transport Systems,2020,IEEE Access,journal-article,Institute of Electrical and Electronics Engineers (IEEE),ODPV: An Efficient Protocol to Mitigate Data Integrity Attacks in Intelligent Transport Systems,2020,IEEE Access,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1109%2Faccess.2020.3004444/transform,
10.1016/j.cogsys.2016.09.006,10.1016,Crossref,True,ok,200,Reasoning from imperfect knowledge,2017,Cognitive Systems Research,journal-article,Elsevier BV,Reasoning from imperfect knowledge,2017,Cognitive Systems Research,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.1016%2Fj.cogsys.2016.09.006/transform,
10.65009/kr96t581,10.65009,Crossref,True,ok,200,BUILDING RESILIENT DATA ENGINEERING PIPELINES USING ENTERPRISE  CLOUD DISTRIBUTED SYSTEMS,2022,Phoenix: International Multidisciplinary Research Journal ( Peer reviewed High Impact Journal ),journal-article,Phoenix Publication Group,BUILDING RESILIENT DATA ENGINEERING PIPELINES USING ENTERPRISE CLOUD DISTRIBUTED SYSTEMS,2022,,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.65009%2Fkr96t581/transform,
10.1145/2212776.2212713,10.1145,Crossref,True,ok,200,End-user interactions with intelligent and autonomous systems,2012,CHI '12 Extended Abstracts on Human Factors in Computing Systems,proceedings-article,ACM,End-user interactions with intelligent and autonomous systems,2012,Human Factors in Computing Systems,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1145%2F2212776.2212713/transform,
10.18454/rulb.9.14,10.18454,DataCite,True,ok,200,INTERPRETATION AND APPLICATION OF LEGAL ENGLISH LANGUAGE UNITS IN PRACTICE,2017,Russian Linguistic Bulletin,article-journal,Russian Linguistic Bulletin,Interpretation and application of legal english language units in practice,2017,Russian Linguistic Bulletin,combined_epistemic_states_research.csv,https://data.crosscite.org/10.18454%2Frulb.9.14,
10.3390/pr11030895,10.3390,Crossref,True,ok,200,Data-Driven Urban Gas Pipeline Integrity Detection and Evaluation Technology System,2023,Processes,journal-article,MDPI AG,Data-Driven Urban Gas Pipeline Integrity Detection and Evaluation Technology System,2023,Processes,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.3390%2Fpr11030895/transform,
10.1007/978-3-540-89197-0_6,10.1007,Crossref,True,ok,200,Toward Formalizing Common-Sense Psychology: An Analysis of the False-Belief Task,2008,Lecture Notes in Computer Science,book-chapter,Springer Berlin Heidelberg,Toward Formalizing Common-Sense Psychology: An Analysis of the False-Belief Task,2008,Pacific Rim International Conference on Artificial Intelligence,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.1007%2F978-3-540-89197-0_6/transform,
10.1007/978-3-030-51828-8_51,10.1007,Crossref,True,ok,200,"An Improvement on the Progress Bar: Make It a Story, Make It a Game",2020,Advances in Intelligent Systems and Computing,book-chapter,Springer International Publishing,"An Improvement on the Progress Bar: Make It a Story, Make It a Game",2020,,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1007%2F978-3-030-51828-8_51/transform,
10.32422/cjir.245,10.32422,Crossref,True,ok,200,The Influence of Epistemic Communities on International Political Negotiations about the Space Debris Problem,2015,Czech Journal of International Relations,journal-article,Institute of International Relations Prague,The Influence of Epistemic Communities on International Political Negotiations about the Space Debris Problem,2023,,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.32422%2Fcjir.245/transform,
10.1109/access.2022.3199878,10.1109,Crossref,True,ok,200,SIGNORA: A Blockchain-Based Framework for Dataflow Integrity Provisioning in an Untrusted Data Pipeline,2022,IEEE Access,journal-article,Institute of Electrical and Electronics Engineers (IEEE),SIGNORA: A Blockchain-Based Framework for Dataflow Integrity Provisioning in an Untrusted Data Pipeline,2022,IEEE Access,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1109%2Faccess.2022.3199878/transform,
10.1002/spe.3021,10.1002,Crossref,True,ok,200,Optimizing checkpoint‐based fault‐tolerance in distributed stream processing systems: Theory to practice,2021,Software: Practice and Experience,journal-article,Wiley,Optimizing checkpoint‐based fault‐tolerance in distributed stream processing systems: Theory to practice,2021,Software - Practice and Experience,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1002%2Fspe.3021/transform,
10.1093/logcom/ext067,10.1093,Crossref,True,ok,200,Achieving completeness in the verification of action theories by Bounded Model Checking in ASP,2013,Journal of Logic and Computation,journal-article,Oxford University Press (OUP),Achieving completeness in the verification of action theories by Bounded Model Checking in ASP,2015,Journal of Logic and Computation,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.1093%2Flogcom%2Fext067/transform,
10.1007/978-3-642-31069-0_29,10.1007,Crossref,True,ok,200,Integrity of Supply Chain Visibility: Linking Information to the Physical World,2012,Lecture Notes in Business Information Processing,book-chapter,Springer Berlin Heidelberg,Integrity of Supply Chain Visibility: Linking Information to the Physical World,2012,Conference on Advanced Information Systems Engineering,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1007%2F978-3-642-31069-0_29/transform,
10.1609/aaai.v33i01.33012604,10.1609,Crossref,True,ok,200,Be Inaccurate but Don’t Be Indecisive: How Error Distribution Can Affect User Experience,2019,Proceedings of the AAAI Conference on Artificial Intelligence,journal-article,Association for the Advancement of Artificial Intelligence (AAAI),Be Inaccurate but Don’t Be Indecisive: How Error Distribution Can Affect User Experience,2019,National Conference on Artificial Intelligence,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1609%2Faaai.v33i01.33012604/transform,
10.3390/math13071105,10.3390,Crossref,True,ok,200,Fuzzy Epistemic Logic: Fuzzy Logic of Doxastic Attitudes,2025,Mathematics,journal-article,MDPI AG,Fuzzy Epistemic Logic: Fuzzy Logic of Doxastic Attitudes,2025,Mathematics,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.3390%2Fmath13071105/transform,
10.63282/3050-9416.ijaibdcms-v2i3p106,10.63282,Crossref,True,ok,200,Building Resilient Data Pipelines: Techniques for Fault-Tolerant Data Engineering,2021,"International Journal of AI, BigData, Computational and Management Studies",journal-article,ScienceTech Xplore,Building Resilient Data Pipelines: Techniques for Fault-Tolerant Data Engineering,2021,,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.63282%2F3050-9416.ijaibdcms-v2i3p106/transform,
10.24251/hicss.2021.543,10.24251,Crossref,True,ok,200,Subjectively Experienced Time and User Satisfaction: An Experimental Study of Progress Indicator Design in Mobile Application,2021,Proceedings of the Annual Hawaii International Conference on System Sciences,proceedings-article,Hawaii International Conference on System Sciences,Subjectively Experienced Time and User Satisfaction: An Experimental Study of Progress Indicator Design in Mobile Application,2021,Hawaii International Conference on System Sciences,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.24251%2Fhicss.2021.543/transform,
10.18454/rulb.9.03,10.18454,DataCite,True,ok,200,MEDIATION TERMINOLOGY AS A SECONDARY TERMINOLOGICAL SYSTEM,2017,Russian Linguistic Bulletin,article-journal,Russian Linguistic Bulletin,Mediation terminology as a secondary terminological system,2017,Russian Linguistic Bulletin,combined_epistemic_states_research.csv,https://data.crosscite.org/10.18454%2Frulb.9.03,
10.1145/2702123.2702603,10.1145,Crossref,True,ok,200,How Good is 85%?,2015,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,proceedings-article,ACM,How Good is 85%?: A Survey Tool to Connect Classifier Evaluation to Acceptability of Accuracy,2015,Human Factors in Computing Systems,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1145%2F2702123.2702603/transform,
10.1166/jama.2016.1104,10.1166,Crossref,True,ok,200,Fuzzy Logical Algebra (FLA): A Denotational Mathematical Structure for Formal Reasoning and Knowledge Representation,2016,Journal of Advanced Mathematics and Applications,journal-article,American Scientific Publishers,Fuzzy Logical Algebra (FLA): A Denotational Mathematical Structure for Formal Reasoning and Knowledge Representation,2016,,combined_epistemic_states_research.csv,https://api.crossref.org/v1/works/10.1166%2Fjama.2016.1104/transform,
10.3390/s22176496,10.3390,Crossref,True,ok,200,On the Design and Implementation of the External Data Integrity Tracking and Verification System for Stream Computing System in IoT,2022,Sensors,journal-article,MDPI AG,On the Design and Implementation of the External Data Integrity Tracking and Verification System for Stream Computing System in IoT,2022,Sensors,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.3390%2Fs22176496/transform,
10.1184/r1/6470396,10.1184,DataCite,True,ok,200,Rethinking the Progress Bar,2018,Carnegie Mellon University,article-journal,Carnegie Mellon University,Rethinking the Progress Bar,2018,,combined_progress_bar_results.csv,https://data.crosscite.org/10.1184%2Fr1%2F6470396,
10.1145/3552327.3552329,10.1145,Crossref,True,ok,200,Time for a change,2022,Proceedings of the 33rd European Conference on Cognitive Ergonomics,proceedings-article,ACM,Time for a change: Reducing perceived waiting time by making it more active,2022,European Conference on Cognitive Ergonomics,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1145%2F3552327.3552329/transform,
10.1109/tvt.2025.3526679,10.1109,Crossref,True,ok,200,Multidimensional Data Integrity Checking Scheme for IoT-Edge Computing-Assisted Intelligent Railway Systems,2025,IEEE Transactions on Vehicular Technology,journal-article,Institute of Electrical and Electronics Engineers (IEEE),Multidimensional data integrity checking scheme for IoT-edge computing-assisted intelligent railway systems,2025,IEEE Transactions on Vehicular Technology,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1109%2Ftvt.2025.3526679/transform,
10.1145/2823400,10.1145,Crossref,True,ok,200,Software dataplane verification,2015,Communications of the ACM,journal-article,Association for Computing Machinery (ACM),Software dataplane verification,2015,Communications of The ACM,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.1145%2F2823400/transform,
10.1145/3613904.3641942,10.1145,Crossref,True,ok,200,Waiting Time Perceptions for Faster Count-downs/ups Are More Sensitive Than Slower Ones: Experimental Investigation and Its Application,2024,Proceedings of the CHI Conference on Human Factors in Computing Systems,proceedings-article,ACM,Waiting Time Perceptions for Faster Count-downs/ups Are More Sensitive Than Slower Ones: Experimental Investigation and Its Application,2024,,combined_progress_bar_results.csv,https://api.crossref.org/v1/works/10.1145%2F3613904.3641942/transform,
10.37936/ecti-cit.2025191.257456,10.37936,Crossref,True,ok,200,Secure Supply Chain Information Interchange using Distributed Trust Backbone,2024,ECTI Transactions on Computer and Information Technology (ECTI-CIT),journal-article,ECTI,Secure Supply Chain Information Interchange using Distributed Trust Backbone,2024,ECTI Transactions on Computer and Information Technology,combined_pipeline_integrity_results.csv,https://api.crossref.org/v1/works/10.37936%2Fecti-cit.2025191.257456/transform,
